Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
Квартира-студия,24.6,2,8,nan,nan,р-н Красносельский,Агентство,14000,nan
2-к. квартира,49,4,5,Московская ,16–20,nan,Агентство,30000,nan
1-к. квартира,35,1,18,Кировский завод ,31,nan,Агентство,18000,nan
1-к. квартира,38,5,20,Балтийская ,6–10,nan,Агентство,33000,nan
Квартира-студия,26,9,20,Парнас ,11–15,nan,Агентство,22000,nan
Квартира-студия,33.9,3,12,nan,nan,Сестрорецк,Агентство,23000,nan
1-к. квартира,32,4,5,Проспект Ветеранов ,31,nan,Агентство,18000,nan
1-к. квартира,42,6,11,Рыбацкое ,16–20,nan,Агентство,20000,nan
1-к. квартира,38,7,16,Проспект Ветеранов ,31,nan,Агентство,21000,nan
Квартира-студия,30,9,19,Улица Дыбенко ,31,nan,Агентство,27000,nan
Квартира-студия,25,1,25,nan,nan,р-н Приморский,Агентство,23000,nan
2-к. квартира,65,13,13,Выборгская ,31,nan,Агентство,45000,nan
Квартира-студия,25,10,19,Звёздная ,11–15,nan,Агентство,21000,nan
1-к. квартира,36,6,22,Гражданский проспект ,31,nan,Агентство,15000,nan
1-к. квартира,36,4,5,Московская ,5,nan,Агентство,20000,nan
1-к. квартира,38,6,12,nan,nan,р-н Красносельский,Агентство,23000,nan
Апартаменты-студия,22,3,20,Парнас ,11–15,nan,Агентство,21000,nan
Квартира-студия,16,1,5,Технологический инт I ,6–10,nan,Агентство,18000,nan
1-к. квартира,38,1,12,Дунайская ,6–10,nan,Агентство,20000,nan
1-к. квартира,34,12,24,Обухово ,31,nan,Агентство,20000,nan
Квартира-студия,26,3,8,nan,nan,р-н Красносельский,Агентство,21000,nan
2-к. квартира,55,3,9,Приморская ,11–15,nan,Агентство,40000,nan
1-к. квартира,34,7,9,nan,nan,пос. Шушары,Агентство,16000,nan
1-к. квартира,45,6,12,nan,nan,Петергоф,Агентство,27000,nan
Апартаменты-студия,22,1,3,Чернышевская ,16–20,nan,Агентство,30000,nan
2-к. квартира,45,4,5,Проспект Ветеранов ,21–30,nan,Агентство,30000,nan
1-к. квартира,32.5,7,9,Лесная ,21–30,nan,Агентство,23000,nan
Квартира-студия,31,8,18,Балтийская ,6–10,nan,Агентство,35000,nan
Квартира-студия,26,6,18,Елизаровская ,31,nan,Агентство,20000,nan
Квартира-студия,33,24,27,Парнас ,21–30,nan,Агентство,23000,nan
Квартира-студия,28,11,12,nan,nan,городской пос. Новоселье,Агентство,15000,nan
1-к. квартира,31,4,9,Проспект Ветеранов ,31,nan,Агентство,18000,nan
2-к. квартира,45,17,19,Фрунзенская ,6–10,nan,Агентство,50000,nan
Квартира-студия,24,1,7,Площадь Ленина ,6–10,nan,Агентство,24900,nan
Квартира-студия,24.4,4,27,nan,nan,р-н Приморский,Агентство,18000,nan
