Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
1-к. квартира,39,4,5,Звёздная ,16–20,nan,Собственник,20000,nan
1-к. квартира,38.8,3,12,Рыбацкое ,16–20,nan,Собственник,26000,nan
1-к. квартира,44,3,10,Проспект Просвещения ,6–10,nan,Собственник,30000,nan
Квартира-студия,29,9,12,nan,nan,р-н Красносельский,Собственник,20000,nan
1-к. квартира,50,10,25,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,60,4,8,Проспект Ветеранов ,31,nan,Собственник,28000,nan
1-к. квартира,36,15,19,Рыбацкое ,6–10,nan,Собственник,25000,nan
1-к. квартира,57.5,5,24,Фрунзенская ,6–10,nan,Собственник,48000,nan
1-к. квартира,36,5,16,Проспект Просвещения ,31,nan,Собственник,27000,nan
1-к. квартира,30,2,16,Выборгская ,21–30,nan,Собственник,24000,nan
1-к. апартаменты,35,12,12,Купчино ,5,nan,Собственник,39999,nan
Квартира-студия,27,14,19,nan,nan,р-н Приморский,Собственник,22000,nan
2-к. квартира,46,5,5,Ломоносовская ,21–30,nan,Собственник,25000,nan
1-к. квартира,36.1,10,15,Звёздная ,31,nan,Собственник,38000,nan
Квартира-студия,30.9,22,25,Беговая ,21–30,nan,Собственник,25000,nan
2-к. квартира,48,8,9,Проспект Просвещения ,6–10,nan,Собственник,35000,nan
1-к. квартира,40,14,16,Выборгская ,21–30,nan,Собственник,25000,nan
1-к. квартира,36.6,2,13,Комендантский проспект ,16–20,nan,Собственник,25000,nan
1-к. квартира,42,2,18,Беговая ,21–30,nan,Собственник,33000,nan
1-к. квартира,49.3,11,25,nan,nan,р-н Красносельский,Собственник,33000,nan
2-к. квартира,48,13,14,Проспект Просвещения ,6–10,nan,Собственник,26000,nan
1-к. квартира,39,13,13,Гражданский проспект ,5,nan,Собственник,25000,nan
1-к. квартира,38,15,26,Парнас ,6–10,nan,Собственник,27900,nan
1-к. квартира,32,7,9,nan,nan,пос. Шушары,Собственник,19000,nan
Квартира-студия,28,13,18,Купчино ,31,nan,Собственник,21000,nan
Апартаменты-студия,23,6,20,Парнас ,11–15,nan,Собственник,22000,nan
